experiment,scenario,run,psc,min_ttc,min_distance,detection_latency,vlm_latency,continue_count,slow_down_count,yield_count,scenario_duration
novlm,frontal_approach,1,84.37,16.182,0.824,0.760,0.373,6,0,0,60.50
novlm,intersection,1,73.98,195.382,0.998,0.245,0.897,5,0,0,66.89
novlm,doorway,1,74.26,3.769,0.554,0.255,0.497,6,0,0,117.87
novlm,frontal_approach,2,77.76,6.658,0.400,0.423,0.434,6,0,0,63.53
novlm,intersection,2,73.21,10.682,0.936,1.218,0.750,5,0,0,78.59
novlm,doorway,2,87.37,1.844,0.479,0.808,0.510,6,0,0,153.37
novlm,frontal_approach,1,90.03,6.294,0.294,0.896,0.546,6,0,0,111.31
novlm,intersection,1,97.41,10.576,1.160,0.213,0.883,10,0,0,158.52
novlm,doorway,1,68.40,0.000,-0.203,0.286,0.770,8,0,0,270.86
novlm,frontal_approach,1,79.08,14.715,0.748,0.710,0.892,5,0,0,55.40
novlm,intersection,1,89.04,4.234,0.593,2.899,0.557,9,0,0,123.62
novlm,doorway,1,82.56,0.000,-0.087,0.858,0.940,6,0,0,364.51
smol,frontal_approach,1,65.14,0.000,-0.024,0.676,6.873,5,2,0,62.60
smol,intersection,1,81.38,inf,1.073,0.327,4.121,5,0,0,78.04
smol,doorway,1,90.29,0.000,-0.105,0.273,4.700,6,5,0,149.01
smol,frontal_approach,2,57.49,0.000,-0.154,0.241,5.938,4,2,0,69.55
smol,intersection,2,97.36,10.700,1.125,0.171,4.589,5,3,0,121.47
smol,doorway,2,72.09,57.287,0.575,0.583,5.215,6,0,0,125.40
smol,frontal_approach,3,79.37,0.909,0.081,0.349,4.219,4,2,0,65.06
smol,intersection,3,59.64,9.007,0.529,0.219,4.479,3,3,0,39.12
smol,doorway,3,77.61,0.000,-0.090,0.314,4.129,4,2,0,134.90
smol,frontal_approach,4,79.59,6.575,0.468,0.727,7.444,4,1,0,54.83
smol,intersection,4,97.78,20.918,1.133,0.292,6.846,7,3,0,203.78
smol,doorway,4,72.07,0.000,-0.048,0.792,4.385,3,3,0,41.66
smol,frontal_approach,1,95.75,3.304,0.302,0.422,6.959,4,5,0,207.80
smol,intersection,1,80.57,10.560,1.032,0.280,4.385,3,3,0,175.24
smol,doorway,1,50.82,0.000,-0.126,0.691,5.263,9,1,0,498.64
smol,intersection,2,73.94,33.826,0.934,3.803,3.887,3,1,0,158.41
smol,doorway,2,79.46,0.000,-0.006,0.562,3.758,4,2,0,116.62
smol,frontal_approach,2,83.55,8.917,0.608,0.280,6.554,6,1,0,66.41
smol,intersection,3,96.89,10.751,1.162,0.266,4.144,7,3,0,161.54
smol,doorway,3,67.64,0.000,-0.120,0.352,3.937,4,3,0,265.52
smol,frontal_approach,3,79.89,5.306,0.469,0.226,7.065,5,1,0,66.49
smol,intersection,4,83.93,33.874,1.066,0.363,4.103,2,3,0,46.65
smol,doorway,4,53.58,0.000,-0.132,0.481,4.904,6,0,0,210.51
smol,frontal_approach,4,80.68,5.867,0.494,0.249,4.175,3,3,0,65.88
smol,intersection,5,74.35,10.536,0.924,0.245,4.522,5,0,0,129.84
smol,doorway,5,43.37,0.000,-0.086,0.631,4.437,5,5,0,284.26
smol,frontal_approach,5,80.23,15.069,0.638,0.717,6.277,6,0,0,62.65
smol,intersection,6,87.03,24.258,0.906,0.407,4.334,5,3,0,67.08
smol,doorway,6,31.44,0.000,-0.217,0.993,3.888,11,4,0,380.05
smol,intersection,7,72.08,229.277,0.880,0.533,3.362,4,1,0,151.11
smol,doorway,7,87.14,104.840,0.060,0.450,3.885,3,3,0,242.12
smol,frontal_approach,6,81.14,8.991,0.617,0.566,6.530,5,1,0,62.67
smol,intersection,8,98.19,21.065,1.057,0.464,5.138,6,0,0,337.09
smol,doorway,8,26.07,0.000,-0.219,0.430,4.614,5,1,0,57.84
smol,frontal_approach,1,74.27,41.844,0.305,0.674,6.272,3,3,0,70.30
smol,intersection,1,94.33,15.817,0.938,0.226,4.442,7,2,0,232.73
smol,doorway,1,91.70,1.557,0.350,0.429,4.340,5,5,0,162.47
smol,frontal_approach,2,82.37,6.280,0.459,0.301,7.070,5,2,0,65.46
smol,intersection,2,67.10,inf,1.044,0.719,4.395,1,0,0,9.10
smol,frontal_approach,1,79.24,16.151,0.627,0.638,9.869,5,1,0,60.62
smol,intersection,1,83.21,10.461,1.161,0.201,4.234,5,0,0,129.85
smol,doorway,1,93.31,1.943,0.415,0.269,5.635,4,2,0,168.10
smol,frontal_approach,2,80.71,5.320,0.846,0.321,10.623,5,0,0,59.99
smol,intersection,2,85.05,17.104,1.106,0.394,4.538,5,0,0,33.49
smol,doorway,2,80.74,0.000,-0.120,0.720,4.783,8,4,0,90.27
smol,frontal_approach,1,83.29,17.688,0.692,1.390,8.051,5,1,0,67.39
smol,intersection,1,91.46,6.903,0.912,0.260,5.309,8,1,0,235.00
smol,doorway,1,91.58,0.194,0.092,0.764,5.025,8,3,0,191.15
smol,frontal_approach,2,79.73,6.547,0.409,0.481,6.972,5,1,0,45.86
smol,frontal_approach,1,76.67,52.799,0.428,1.031,10.966,5,0,0,71.59
smol,intersection,1,100.00,12.037,2.604,0.408,5.979,3,1,0,117.56
smol,doorway,1,80.70,0.000,-0.115,0.305,5.599,1,5,0,190.11
smol,frontal_approach,2,81.75,8.282,0.678,1.191,7.837,5,1,0,67.34
smol,intersection,2,92.75,7.526,0.889,0.273,5.656,2,5,0,86.64
smol,frontal_approach,1,81.19,5.461,0.315,13.603,8.602,3,2,0,83.64
smol,intersection,1,72.38,134.878,1.097,0.238,5.024,4,1,0,105.32
smol,doorway,1,64.21,0.000,-0.143,0.375,6.474,2,5,0,229.02
smol,frontal_approach,2,76.61,15.192,0.482,1.082,6.492,5,0,0,60.24
smol,intersection,2,68.93,11.740,0.888,0.314,4.543,4,1,0,40.32
smol,doorway,2,100.00,inf,1.565,0.872,5.598,1,0,0,11.12
smol,frontal_approach,1,84.85,16.448,0.784,1.070,10.121,3,3,0,71.10
smol,intersection,1,76.52,10.460,1.043,0.423,5.169,4,0,0,66.12
smol,doorway,1,87.72,0.000,-0.097,0.430,4.969,1,5,0,296.87
smol,frontal_approach,2,84.97,15.382,0.567,0.346,4.488,3,2,1,102.82
